Kandó K. u 17.-  KTJ:102456074;;;;
GY/53/06936-28/2024;;;;
Hulladék kód;Hulladék megnevezés;;;
03 01 05;fűrészpor, faforgács, darabos eselék, fa, forgácslap és furnér, amely különbözik ;;;
07 02 13;hulladék műanyag;;;
07 02 99;közelebbről meg nem határozott hulladék;;;
10 11 03 ;üveg alapú, szálas anyagok hulladéka;;;
10 11 05;egyéb részecskék és por;;;
10 11 12;üveghulladék, amely különbözik a 10 11 11-től;;;
10 11 14;üvegcsiszolási és polírozási iszap, amely különbözik a 10 11 13-tól;;;
10 11 99;közelebbről meg nem határozott hulladék;;;
12 01 01;vasfém részek és esztergaforgács;;;
12 01 03;nemvas fém reszelék és esztergaforgács;;;
12 01 99;közelebbről meg nem határozott hulladék;;;
15 01 03;fa csomagolási hulladék;;;
15 01 04;fém csomagolási hulladék;;;
15 01 07;üveg csomagolási hulladék;;;
16 01 17;vasfémek;;;
16 01 18;nemvas fémek;;;
16 01 19;műanyagok;;;
16 01 20;üveg;;;
16 01 99;közelebbről meg nem határozott hulladék;;;
17 01 07;beton, tégla, cserép és kerámia frakció vagy azok keveréke, amely különbözik ;;;
17 02 01;fa;;;
17 02 02;üveg;;;
17 02 03;műanyag;;;
17 03 02;bitumen keverék, amely különbözik a 17 03 01-től;;;
17 04 02;alumínium;;;
17 04 05;vas és acél;;;
17 04 07;fémkeverék;;;
17 06 04;szigetelő anyag, amely különbözik a 17 06 01 és a 17 06 03-tól;;;
17 09 04;kevert építési-bontási hulladék, amely különbözik a 17 09 01-től, a 17 09 02-től és ;;;
19 12 02;fém vas;;;
19 12 04;műanyag és gumi;;;
19 12 05;üveg;;;
19 12 12;egyéb, a 19 12 11-től különböző hulladék mechanikai kezelésével nyert hulladék (ideértve a kevert anyagokat is);;;
20 01 02;üveg;;;
20 01 38;fa, amely különbözik a 20 01 37-től;;;